student_id,hs_gpa,hs_clubs,hs_sports,hs_attendance,hs_pop_density
1001,2.87,3,1,0.915,3703
1002,2.2,1,1,0.866,4851
1003,2.72,2,0,0.948,4341
1004,2.05,1,0,0.887,4034
1005,2.27,1,1,0.886,3942
1006,1.51,1,1,0.874,3846
1007,2.23,2,0,0.921,4268
1008,2.61,2,0,1.4,4171
1009,2.44,3,0,0.959,4712
1010,1.5,1,0,0.849,5577
1011,1.91,1,0,0.896,3518
1012,1.93,1,0,0.911,2185
1013,1.5,0,1,0.851,2454
1014,2.58,1,1,0.93,3005
1015,2.2,3,1,0.976,4868
1016,3.0,3,1,0.974,2851
1017,2.21,1,0,0.914,2042
1018,2.63,3,1,0.986,3879
1019,3.19,4,1,0.844,4411
1020,2.08,2,0,0.884,5498
1021,2.96,3,1,0.847,3408
1022,2.66,4,0,0.795,3440
1023,2.6,2,0,0.835,4462
1024,3.44,3,1,0.95,2966
1025,3.41,3,1,0.975,5021
1026,2.79,4,0,0.926,4905
1027,2.0,2,0,0.888,3393
1028,2.89,3,0,0.904,3721
1029,3.2,3,0,0.915,4579
1030,3.37,3,1,0.989,2653
1031,2.11,2,1,0.878,2997
1032,2.35,2,1,0.865,3633
1033,1.5,0,0,0.937,2181
1034,2.79,2,1,0.923,3505
1035,2.72,3,0,0.975,4230
1036,2.8,2,0,0.964,3045
1037,2.41,3,0,0.878,2891
1038,2.9,3,0,0.903,5464
1039,2.11,2,1,0.911,3726
1040,1.93,1,0,0.909,3943
1041,2.03,1,0,0.919,3752
1042,2.33,1,0,0.922,2450
1043,2.58,2,0,0.988,3451
1044,2.5,2,0,0.913,5065
1045,1.97,2,1,1.0,4595
1046,1.5,0,0,0.897,3040
1047,2.76,3,1,0.878,3031
1048,2.3,3,0,0.978,1577
1049,1.81,0,1,0.852,4263
1050,1.89,1,0,0.894,4290
1051,2.43,3,0,0.848,3815
1052,2.78,3,0,0.873,4380
1053,1.5,0,0,0.833,1921
1054,2.84,3,0,0.849,4154
1055,2.3,1,0,0.931,4798
1056,1.78,1,0,0.904,3008
1057,1.77,0,1,0.874,3115
1058,2.13,1,0,0.889,2287
1059,1.5,0,1,0.923,3809
1060,2.32,1,1,0.93,4320
1061,2.68,3,1,0.903,3184
1062,3.4,6,0,0.945,2538
1063,2.69,1,0,0.893,3480
1064,2.92,3,1,0.936,2997
1065,2.25,1,0,0.829,3403
1066,1.81,0,0,0.913,2427
1067,2.84,3,1,0.806,2587
1068,2.97,3,1,0.859,3625
1069,2.55,2,1,0.898,4150
1070,2.94,3,1,0.861,3178
1071,2.41,2,1,0.965,4883
1072,2.92,2,0,0.937,3137
1073,2.56,3,1,0.9,3812
1074,1.5,1,0,0.767,3096
1075,2.25,2,0,0.789,2196
1076,1.73,0,1,0.959,3525
1077,2.99,4,1,0.877,4161
1078,3.33,5,1,0.912,4160
1079,3.36,3,0,0.97,3929
1080,3.37,3,0,0.873,4178
1081,1.94,1,0,0.893,3737
1082,3.37,5,1,0.953,3660
1083,1.75,1,0,0.964,4633
1084,2.77,3,0,0.973,4318
1085,1.96,1,0,0.932,6048
1086,1.57,1,0,0.88,3675
1087,2.73,2,1,0.957,3943
1088,1.7,1,0,0.88,2840
1089,1.91,0,0,0.83,5017
1090,2.28,2,0,0.862,4052
1091,2.41,2,1,0.912,3830
1092,2.04,1,1,0.887,3600
1093,1.63,0,1,0.791,4117
1094,2.74,2,0,0.855,4836
1095,1.93,2,1,0.946,2629
1096,3.02,2,0,0.923,3365
1097,2.87,3,1,0.805,3964
1098,1.83,1,0,0.899,3863
1099,1.94,1,0,0.809,2781
1100,1.5,0,1,0.851,2300
