student_id,logins_per_week,time_on_task_hrs,submission_rate
1001,,,
1002,0.8,2.5,69%
1003,3.4,1.8,84%
1004,,,
1005,0.6,1.9,72%
1006,0.5,1.8,72%
1007,1.0,3.5,64%
1008,3.0,3.4,85%
1009,4.3,5.2,87%
1010,0.6,3.4,73%
1011,2.4,3.5,78%
1012,1.6,3.0,75%
1013,,,
1014,4.2,5.0,79%
1015,4.4,5.1,91%
1016,5.2,6.0,94%
1017,0.9,2.1,72%
1018,,,
1019,1.7,2.7,77%
1020,2.7,4.2,69%
1021,2.7,2.7,77%
1022,0.7,0.0,59%
1023,0.8,1.0,67%
1024,4.4,6.6,99%
1025,3.9,3.0,93%
1026,3.4,4.3,74%
1027,,,
1028,2.8,3.1,80%
1029,3.6,5.3,86%
1030,5.2,5.2,92%
1031,0.6,2.6,68%
1032,3.2,2.4,84%
1033,3.2,1.5,86%
1034,3.3,5.1,91%
1035,4.8,6.4,100%
1036,6.3,4.7,100%
1037,2.0,2.4,75%
1038,4.5,3.1,91%
1039,2.5,3.9,90%
1040,2.5,2.5,67%
1041,1.2,3.0,68%
1042,0.9,2.3,76%
1043,5.9,6.9,97%
1044,,,
1045,4.7,5.7,84%
1046,1.7,1.8,56%
1047,4.3,5.4,100%
1048,5.1,6.0,97%
1049,1.5,3.4,67%
1050,0.4,1.1,68%
1051,3.1,5.0,86%
1052,,,
1053,0.0,0.0,66%
1054,,,
1055,2.7,3.7,79%
1056,1.6,3.0,67%
1057,0.0,1.5,64%
1058,2.1,1.9,73%
1059,1.9,3.3,78%
1060,,,
1061,1.6,1.0,78%
1062,4.8,5.6,99%
1063,3.3,3.5,75%
1064,3.4,3.8,90%
1065,0.5,0.0,72%
1066,2.1,3.0,84%
1067,0.0,0.8,68%
1068,2.3,3.7,81%
1069,3.8,4.4,94%
1070,4.3,4.8,92%
1071,4.7,5.3,95%
1072,5.1,6.3,86%
1073,3.1,3.0,80%
1074,,,
1075,1.4,0.4,58%
1076,0.0,2.8,65%
1077,3.5,3.4,89%
1078,3.5,5.5,87%
1079,5.0,6.3,100%
1080,,,
1081,1.7,2.3,83%
1082,2.0,3.1,81%
1083,3.0,4.2,79%
1084,2.9,3.3,85%
1085,,,
1086,,,
1087,5.7,5.5,94%
1088,2.7,2.5,74%
1089,0.4,1.7,70%
1090,,,
1091,4.0,3.9,89%
1092,1.3,2.2,75%
1093,,,
1094,1.0,0.0,69%
1095,4.3,4.0,88%
1096,3.6,5.2,86%
1097,0.0,0.7,64%
1098,3.8,4.3,80%
1099,0.0,0.0,58%
1100,0.0,1.8,72%
