student_id,course_score,success
1001,85.8,1
1002,57.1,0
1003,75.5,1
1004,60.8,0
1005,69.9,0
1006,66.1,0
1007,60.8,0
1008,64.9,1
1009,72.3,1
1010,50.2,0
1011,65.4,0
1012,70.0,1
1013,50.8,0
1014,82.0,1
1015,66.4,1
1016,79.8,1
1017,70.0,1
1018,76.3,1
1019,63.4,1
1020,57.8,0
1021,73.7,1
1022,53.5,0
1023,58.1,0
1024,91.9,1
1025,65.1,1
1026,72.4,1
1027,58.4,0
1028,71.8,1
1029,75.2,1
1030,86.5,1
1031,60.4,0
1032,65.1,1
1033,70.4,1
1034,69.2,1
1035,66.4,1
1036,69.1,1
1037,74.9,1
1038,76.9,1
1039,72.0,1
1040,59.3,0
1041,58.3,0
1042,63.8,0
1043,79.2,1
1044,67.6,0
1045,72.7,1
1046,60.1,0
1047,88.7,1
1048,85.8,1
1049,63.6,0
1050,49.2,0
1051,73.8,1
1052,51.0,0
1053,62.1,0
1054,65.8,0
1055,74.9,1
1056,60.3,0
1057,68.7,1
1058,65.3,1
1059,68.0,0
1060,74.2,1
1061,68.2,1
1062,80.9,1
1063,68.1,1
1064,87.9,1
1065,62.9,0
1066,70.7,1
1067,72.4,1
1068,65.4,1
1069,82.1,1
1070,86.0,1
1071,78.9,1
1072,87.0,1
1073,67.6,1
1074,46.0,0
1075,62.2,0
1076,50.1,0
1077,73.7,1
1078,81.3,1
1079,88.2,1
1080,55.4,0
1081,57.0,0
1082,72.1,1
1083,67.0,0
1084,81.7,1
1085,71.6,1
1086,60.7,0
1087,83.3,1
1088,82.4,1
1089,50.6,0
1090,54.1,0
1091,67.0,1
1092,69.1,1
1093,59.4,0
1094,65.8,0
1095,66.1,1
1096,74.3,1
1097,54.7,0
1098,69.7,1
1099,54.7,0
1100,49.1,0
