student_id,ug_gpa,internships,need_based_aid
1001,2.99,0,0
1002,2.48,0,1
1003,3.02,0,1
1004,1.81,1,0
1005,3.08,0,1
1006,2.18,0,1
1007,2.09,0,1
1008,3.3,0,0
1009,2.82,0,0
1010,1.71,0,1
1011,2.43,0,1
1012,1.85,1,1
1013,1.63,0,0
1014,2.84,0,0
1015,3.11,0,1
1016,2.83,2,0
1017,1.99,1,0
1018,2.81,1,0
1019,3.13,0,0
1020,2.61,0,1
1021,4.0,0,1
1022,2.92,0,1
1023,2.67,0,1
1024,2.8,2,0
1025,3.25,0,1
1026,2.81,1,1
1027,1.78,0,0
1028,3.15,0,1
1029,2.98,0,1
1030,3.23,1,0
1031,2.66,0,0
1032,2.67,0,1
1033,2.63,1,1
1034,2.71,0,1
1035,2.92,1,0
1036,3.22,0,1
1037,2.52,0,1
1038,3.2,1,1
1039,2.28,1,0
1040,2.47,0,1
1041,1.65,0,1
1042,1.75,0,0
1043,2.37,2,1
1044,2.6,1,1
1045,2.2,0,1
1046,1.5,0,0
1047,2.64,1,1
1048,2.7,2,0
1049,2.2,0,0
1050,2.13,0,1
1051,2.24,0,1
1052,3.6,0,1
1053,1.5,0,1
1054,2.91,0,0
1055,3.14,1,1
1056,1.61,0,1
1057,1.5,1,0
1058,1.85,0,1
1059,1.5,0,1
1060,3.16,0,1
1061,2.73,0,0
1062,3.25,0,0
1063,2.96,1,1
1064,3.36,0,0
1065,2.08,0,1
1066,2.33,1,0
1067,2.47,0,0
1068,2.85,1,0
1069,3.4,1,1
1070,3.47,0,0
1071,2.23,0,1
1072,3.41,1,0
1073,2.92,0,1
1074,1.5,0,1
1075,2.56,0,0
1076,2.3,0,1
1077,2.56,0,1
1078,3.47,0,0
1079,3.42,2,0
1080,2.75,0,0
1081,1.5,0,1
1082,2.1,0,1
1083,1.68,0,1
1084,3.0,0,0
1085,2.32,0,0
1086,1.64,0,1
1087,2.63,2,0
1088,1.76,0,0
1089,1.99,0,1
1090,2.43,0,0
1091,2.88,1,1
1092,1.96,0,1
1093,1.84,0,1
1094,2.71,0,0
1095,2.73,2,1
1096,2.7,0,0
1097,2.57,0,1
1098,1.66,1,1
1099,1.5,0,0
1100,1.85,0,1
